Quarter,"Products of agriculture, hunting and related services","Products of forestry, logging and related services",Fish and other fishing products; aquaculture products; support services to fishing,Mining and quarrying,Food products; beverages; tobacco products ,Textiles; wearing apparel; leather and related products,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Paper and paper products,Printing and recording services,Coke and refined petroleum products,Chemicals and chemical products,Basic pharmaceutical products and pharmaceutical preparations,Rubber and plastics products,Other non-metallic mineral products,Basic metals,"Fabricated metal products, except machinery and equipment","Computer, electronic and optical products",Electrical equipment,Machinery and equipment n.e.c.,"Motor vehicles, trailers and semi-trailers",Other transport equipment,Furniture; other manufactured goods,Repair and installation services of machinery and equipment,"Electricity, gas, steam and air conditioning",Natural water; water treatment and supply services,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services ",Constructions and construction works,Wholesale and retail trade and repair services of motor vehicles and motorcycles,"Wholesale trade services, except of motor vehicles and motorcycles","Retail trade services, except of motor vehicles and motorcycles",Land transport services and transport services via pipelines,Water transport services,Air transport services,Warehousing and support services for transportation,Postal and courier services,Accommodation and food services,Publishing services,"Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services",Telecommunications services,"Computer programming, consultancy and related services; information services","Financial services, except insurance and pension funding","Insurance, reinsurance and pension funding services, except compulsory social security",Services auxiliary to financial services and insurance services,Real estate services,Imputed rents of owner-occupied dwellings,Legal and accounting services; services of head offices; management consulting services,Architectural and engineering services; technical testing and analysis services,Scientific research and development services,Advertising and market research services,"Other professional, scientific and technical services; veterinary services",Rental and leasing services,Employment services,"Travel agency, tour operator and other reservation services and related services","Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services",Public administration and defence services; compulsory social security services,Education services,Human health services,Residential care services; social work services without accommodation,"Creative, arts and entertainment services; library, archive, museum and other cultural services; gambling and betting services",Sporting services and amusement and recreation services,Services furnished by membership organisations,Repair services of computers and personal and household goods,Other personal services,Services of households as employers; undifferentiated goods and services produced by households for own use,Services provided by extraterritorial organisations and bodies
11,47470403370.57413,3032955870.1194224,4974402846.725401,75693105080.85608,117291686797.69292,32453989730.722607,10275678289.915564,21362229836.450195,5633234573.320344,48318923338.68875,64562066461.36988,34959429327.40383,26004916111.906094,13651104675.780056,38362960661.970535,22488849395.231064,18903298175.82256,18912720474.3717,14178092454.791689,22610292893.878014,5964676059.060577,20137093511.83189,17938658877.809586,103054136023.30006,12616359366.58479,28907248980.715458,42644735390.965324,19777538275.365128,87182148187.13475,65445474049.24133,52423876720.42514,1726474839.9048903,10302562424.365917,60880634135.61744,7180021706.920429,133293933461.41539,10387110217.647873,13770383178.37861,26267732281.71236,14895226435.761642,43803136619.62182,20173871935.89224,19448233973.305695,78941554793.94939,144749612995.95438,46561790713.02667,21178186197.75166,5594225192.852046,16896606233.854502,13221543690.202452,16567891105.434095,7247712317.353399,7445107053.135282,59514551540.49434,158332524862.77548,132812909082.06186,152243123959.88934,38877898104.03981,24213778174.39188,25009425462.71222,14415634071.656914,5841948918.522655,19937387640.309498,24184093485.14396,612138197.3044355
12,47432933785.53475,3040795647.329412,4965271063.721499,75957197021.42615,117405978970.54025,32574582124.157593,10286951598.802614,21376548186.33809,5639432096.987018,48582257687.19429,64635998480.0982,35085719007.431114,26028939757.64995,13660972826.436548,38400745539.7188,22511241683.30587,18948886311.24526,18934827671.994602,14198541085.178703,22549133866.427902,5974046850.925664,20153089066.238014,17961538866.64362,103115962491.65924,12635592489.910011,28966760967.98309,42554547702.001915,19693966683.309505,87234631950.9231,65500227847.444695,52510480001.96673,1731730523.7777152,10335457588.476826,61049858478.49415,7186035059.458565,133354548950.48888,10396505981.440033,13825530064.789837,26336509045.515575,14914279685.314285,43674279070.077614,20226389738.093273,19483450664.140064,78805499391.6346,142597349028.89023,46618736343.80174,21208488663.20817,5611442856.229389,16916084563.72185,13233906698.536821,16591808299.264914,7257113740.377422,7453202690.084035,59574137656.48736,158212699213.13287,132478057089.84604,152701146239.97525,38902403229.9577,24327080983.61542,25098823020.902847,14445446997.010393,5849373643.936544,19914730090.90481,23649185676.717754,612082477.3575599
13,47600899590.79886,3051976380.127893,4977141567.776008,76276275754.53052,118045779078.16446,32680945219.14282,10311752500.753311,21428688855.602062,5650515583.5967245,48827688549.932304,64830385022.14555,35200741755.5394,26089615493.674755,13682983324.634432,38487281508.970665,22565287191.025127,18995098131.92855,18974001516.398396,14233927939.554964,22562029008.072086,5989442282.392256,20178210337.04243,18011879221.254738,103475257713.71806,12672706047.914852,29054471083.28401,42463589530.840225,19689771395.1405,87387965202.08542,65518614424.364044,52653582150.676674,1738686086.0553076,10380848816.089754,61281739369.2524,7193916675.484765,133733638106.85817,10393575264.25142,13893492371.629953,26430360129.757893,14935775484.27913,43499204817.85704,20253777261.71111,19497664623.235004,78645534058.54419,139946495931.4693,46690572195.30891,21249320331.65762,5625342652.357807,16945950035.167467,13255356370.500801,16630503037.812105,7275532054.877588,7485616493.788117,59671113820.145454,158119321530.25204,131935579338.57846,152802447530.6879,38934648993.91859,24435144198.83882,25139545784.19803,14461858750.52267,5859082196.738758,19868528420.518456,23007753170.527306,611875691.617589
14,47904718166.65197,3071621956.6622987,5009409262.296347,76854667509.16057,119092301874.47365,32882798122.53321,10356399439.075209,21533986557.280724,5673230815.960118,49274400740.15902,65135533685.92075,35350994467.81343,26208947558.212048,13729957685.067047,38652345130.91022,22666729051.12198,19075006616.053238,19061880571.71037,14296055844.174404,22600590814.121304,6019489848.234829,20219340893.112877,18101409786.69001,104179094883.96246,12744814217.04489,29220987788.33234,42425784431.5504,19679913976.066193,87691895934.75343,65582818492.587395,52886333657.410385,1751553324.2750685,10432071675.649338,61629286233.0996,7210685005.469862,134651521203.73756,10408226257.309256,13981546018.251347,26530467143.145657,14974206612.805233,43310013432.30322,20317559424.026886,19555433464.966805,78602652914.74579,137424930297.89883,46831972510.33488,21315123588.116558,5651670752.501976,17002523778.873318,13302032534.789232,16697266504.48728,7308324036.7361355,7517687050.768287,59862391392.52715,157851135855.7108,131446534205.61378,152829513848.52658,38871071507.41635,24591752929.44025,25228400687.45724,14520201749.86301,5878176205.779083,19775956297.947643,22401807961.33339,612458998.3200636
15,48449498708.08897,3099652484.3409863,5053469459.889221,77525400891.88815,120711464275.80318,33186914834.426804,10423700741.319885,21688356086.010624,5707068652.546075,49752032767.77559,65581088306.87454,35558981634.14934,26391641411.51827,13806477905.591059,38908548926.72993,22822744731.46381,19174818792.955658,19189540523.384777,14387023969.535412,22743396823.34365,6063968947.517694,20294932193.32631,18230449352.746136,105077252837.39342,12842630619.817232,29434994991.32063,42488527929.57982,19650249707.70694,88090906282.21295,65745061168.82711,53256184259.55548,1766339504.5983167,10508561240.647627,62066599686.498245,7240148724.27017,136081427390.18755,10434412405.945204,14094294840.863974,26671604585.5956,15035990824.797606,43163800396.77478,20363356416.78878,19608812226.44779,78666893993.68481,135282964568.04968,47050435257.670715,21419167522.17736,5690502917.150298,17088691189.950834,13370117396.099646,16797814260.39409,7356961839.017778,7576840812.194285,60164888915.41357,157957774850.07965,131116695807.4141,153156119849.83368,38867823471.091446,24779045801.616222,25385573912.428528,14588545288.900661,5908451753.934178,19754022166.392708,21860084956.340393,613765991.3618038
16,49189909335.54915,3136512864.656773,5111564908.7281065,78343097283.12189,122690811123.78351,33538619738.226997,10518346414.584911,21916917370.464863,5757171046.055182,50301109833.40532,66222741527.33396,35879063367.49202,26663113929.98662,13921644805.579746,39280933360.77987,23044811261.85225,19327910396.368458,19375008991.887722,14517277670.003407,23014390748.683033,6122838160.488311,20413621384.018757,18408572449.658833,106229262038.73453,12976113138.831081,29743671877.54974,42668044455.92472,19745144301.82014,88801780931.72672,66077207172.04313,53782038588.66338,1786517838.7573197,10604354385.878752,62653708330.91292,7288002193.917983,138006913173.40045,10485818987.541424,14238927598.594837,26856613452.38316,15132568527.599802,43062154066.74566,20366076602.39635,19683200950.69222,78995164092.20502,134017323044.44258,47381530206.53079,21576205676.10096,5733568506.17866,17214499609.821926,13474592243.235697,16937686098.147333,7426163469.287765,7665266054.114572,60618542942.82623,158518618133.10934,131094168047.60739,153828451830.65442,38974523495.926834,24998286814.03134,25519323298.14431,14664991295.385916,5954294011.6648035,19734892304.125805,21551377982.990738,616844041.129954
17,50074675798.26037,3179418273.772488,5191264067.45614,79327289719.25278,124987051656.62172,33934134441.426693,10644403391.5269,22205999685.758022,5822289841.163056,50929217423.14867,67069759268.14801,36293899484.063934,27008678583.26773,14077749610.777851,39763744870.96725,23334166819.617718,19516820058.072075,19616299749.377937,14687459893.120514,23353241204.47153,6198084181.010761,20630116930.46507,18637035688.582466,107688707863.48265,13138726099.064358,30112547053.236477,43007396592.55844,19946850316.888287,89713801874.25912,66608574476.89266,54435829876.52354,1810438055.6063657,10718383397.308098,63402533090.73955,7357860435.277744,140282517980.5111,10565346130.089901,14386789047.365582,27098472614.73433,15272298516.213512,43158854631.10352,20413808696.562542,19803965142.680412,79658359068.46388,133582704800.45055,47844482742.60231,21796207510.544785,5783756001.770654,17387913357.662125,13617760669.424955,17124048050.748032,7515222872.621993,7782881374.809325,61254211659.09103,159767844574.14737,131649457201.77206,154877205180.78598,39227582647.85029,25244118287.247276,25738354979.37609,14768602316.341461,6015923455.443972,19837222246.761528,21518685095.399,622166434.1199242
18,51150060931.78187,3229929126.6275086,5284710846.142456,80438876474.80286,127673087445.04803,34421363134.31089,10800935776.228111,22563630627.128605,5904111917.640921,51617214632.686386,68090169727.86788,36787804072.34241,27433625561.915558,14276269488.427591,40355391388.9663,23686175791.418247,19750553236.780075,19905363115.805458,14894883578.94992,23786431581.01345,6284183844.856468,20906764550.21986,18910871426.66199,109361260025.59776,13333589634.513563,30556993498.673847,43530363983.4012,20225892986.23884,90921453402.43112,67416265376.7193,55247289136.28167,1836325866.7339797,10846050135.769459,64252194724.164375,7448989231.109014,142941190868.81616,10677238344.276611,14563160894.03231,27389321197.447853,15452598177.483946,43429391941.96148,20503312909.40106,19970743357.003082,80640134945.67511,134830625056.24603,48445261894.2412,22065821210.993805,5853835160.37538,17608762261.901436,13796278576.622288,17352523206.321823,7624554900.015644,7904712144.184123,62056700539.02575,161289405808.75308,132915004339.0597,156452031879.63977,39647007235.83063,25530589963.010128,26017109373.70193,14902171976.334702,6092293806.267073,19984480742.297714,21761953155.518482,629624170.1173091
19,52332481985.261856,3288457240.6484337,5379359239.740843,81678350353.7976,130572188552.94922,34991475508.89475,10989313309.058302,22978181733.633244,6004419978.758557,52331441750.608795,69294079837.97418,37338595856.81587,27940007677.78119,14516008445.511879,41069567521.89203,24105647275.004696,20035807192.504154,20247945662.239414,15145528521.029453,24335816150.13195,6388758080.966625,21262013642.911674,19237960102.659912,111348342754.37718,13557422978.274212,31098902128.16,44221059764.99456,20559858623.72105,92402054094.99358,68435440982.041374,56224635438.6792,1864833090.036825,10999519344.333317,65289359955.56848,7565130313.074302,146128477828.3324,10821625530.49701,14757223822.52775,27737997566.34197,15683076669.37245,43991292547.63908,20638947653.127182,20205319603.339725,81981720679.9633,137301314515.77995,49194742412.251884,22406502205.940613,5933701989.265115,17885500070.588688,14016178404.05809,17632381955.35338,7755532513.446359,8059275670.7971525,63057390589.80071,163814224029.88153,134480117053.34248,158364751878.106,40210396448.2878,25916513387.77508,26360181198.6414,15084654537.91477,6187812029.524127,20277006092.899967,22322411491.586185,639492523.7531306
20,53641735520.172356,3351313626.6099434,5490329332.880634,83085375749.89671,133681617515.43289,35597317188.59873,11198770476.162676,23441092526.82174,6115668209.755576,53141772441.971275,70685712042.00212,37973739698.00362,28512392184.11203,14796300453.49576,41877470676.47571,24583070292.81112,20372051142.764206,20645726559.627754,15429813590.944893,24988136557.2809,6510043514.808781,21644786757.615753,19608073109.721405,113608510194.316,13814016007.877943,31664724439.860516,45095632837.13913,21031047198.84202,94141221931.70541,69695225479.77298,57299027680.85497,1895806947.4233022,11177371990.081198,66422306820.929344,7701193880.586037,149175582924.5886,11005853522.578135,14984977502.65516,28185939108.524727,15952526543.451527,44689612370.012726,20834949644.635925,20497047573.38531,83583345363.78676,141098742146.5364,50070407659.18279,22811013144.931576,6025713071.584002,18204187301.068386,14281203796.366096,17955122046.464363,7903522477.970879,8225257182.74658,64219189577.74041,166626750327.51273,137170677729.49315,160914280293.584,40885606612.54601,26244056562.878513,26764387897.040333,15304854691.455677,6299684847.337605,20630748876.85715,23136080523.87102,651105659.081529
